doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,sponsored,target,condition,sequence,commented_post,source
1,09.22.25 09:30,Coffee corner…,https://i.imgur.com/4cjXrDg.jpeg,,199,26,5,Ahmet Duran Hergün,AhmetDuranHergn,"In the desert I went to, on the world map across my forehead, follow the deepest line, and you will find me...",https://i.imgur.com/jY6pfH2.jpeg,40900,0,,A,1,0,
2,09.22.25 09:30,The old post house 🏡,https://i.imgur.com/1q8VdGu.jpeg,,778,77,3,English Cottages,englandcottages,Who’s ready to get lost in English Cottage elegance?,https://i.imgur.com/6pWfjKc.jpeg,13900,0,,A,2,0,https://x.com/englandcottages/status/1971191869830050170
3,09.22.25 09:30,"UK artist Helen Musselwhite combines hand cutting, folding and scoring paper and card to create her artworks, which are often inspired by nature ",https://i.imgur.com/W7qu4HR.jpeg,,835,148,3,#WOMENSART,womensart1,"Celebrating ♀'s art & creativity, curated by author & art historian",https://i.imgur.com/u2EDep8.jpeg,462500,0,,A,3,0,https://x.com/womensart1/status/1970065972288454834
4,09.22.25 09:30,"""What I like best is staying home and reading."" John Waters",https://i.imgur.com/MwuxBqE.jpeg,,1400,282,40,PergamentG,Pergament_G,Zweig | Philosophy | Classical literature | Bibliophile,https://i.imgur.com/kJtz0Ga.jpeg,66600,0,,A,4,0,
5,09.22.25 09:30,"Fascinating, eccentric musical figure Erik Satie b otd 1866: <br> ""The musician is perhaps the most modest of animals, but he is also the proudest."" <br> ""Experience is a form of paralysis.""",https://i.imgur.com/M37nX1f.jpeg,,194,46,10,Steven Isserlis,StevenIsserlis,"Cellist of (and sometimes out of) sorts, Author, Father, Lover of Indian and other food and of the Marx Brothers and other people who make me laugh.",https://raw.githubusercontent.com/Sookie523/Sacred-profane/e50e5aecbf576ff1cf86657460212cefc9dce10c/Filler3_user_image.jpeg,42500,0,,A,5,0,https://x.com/StevenIsserlis/status/1526476253804494849
6,09.22.25 09:35,"I actually wish I could tell you there was a place, experience or achievement better than this. <br> But there’s nothing like my baby.",https://raw.githubusercontent.com/Sookie523/Sacred-profane/e45c3fb2c0631c8a6e7a55726d9fda0842dc5bda/Sacred_baby.jpeg,,2200,203,3,maggie.shefi,maggielove_,Sharing the little joys in my life,https://raw.githubusercontent.com/Sookie523/Sacred-profane/d91bb33068c670af0627daabd7ed0ae629abc24e/Sacred_baby_user_image.jpg,279200,0,,A,6,0,https://x.com/i8903i/status/1970117033330401783
7,09.22.25 09:36,"She waited 63 years. <br> Clara Gantt never gave up hope that her husband, U.S. Army Sgt. 1st Class Joseph Gantt, would come home. He was captured during the Korean War and declared MIA but his remains weren't identified until 2013. In her 90s, Clara stood tall as his flag draped casket was finally returned. She never remarried.",https://i.imgur.com/CYvdp69.jpeg,,220,461,113,Monica8503,monica8503,"I collect poems, stories, and forgotten histories",https://i.imgur.com/0tArIje.jpeg,20600,0,,A,7,0,https://x.com/MilitaryCooI/status/1940491170247070194
8,09.22.25 09:37,Lady Liberty at sunrise 🗽☀️,https://i.imgur.com/f7OkyCq.jpeg,,567,89,8,Gary Hershorn,GaryHershorn,Photojournalist in New York City. ,https://i.imgur.com/DELiBND.png,26200,0,,A,8,0,https://x.com/StatueEllisFdn/status/1967242145678434788
9,09.22.25 09:30,A drink to help you double down on fun. #JackDaniels #CountryCocktails #MakeItCount,https://i.imgur.com/ZFLuPou.jpeg,,104,22,2,Jack Daniel's,JackDaniels_US,Official page of Jack Daniel's US,https://i.imgur.com/EeI1ZGS.jpeg,189100,1,,A,9,0,https://x.com/JackDaniels_US/status/1587914444633505793
10,09.22.25 09:30,Looking for a pick-me-up after losing an hour of sleep? <br> Wake up easier with the help of an Instant Hot Water Dispenser #DaylightSavings #FrenchPress #HomeBrew,https://i.imgur.com/wqS5hzg.jpeg,,10,8,2,InSinkErator,InSinkErator,Welcome to the official Twitter feed for the world's best-selling brand of instant hot water dispensers and the only food waste disposers made in the USA.,https://i.imgur.com/tToeT2z.jpeg,2725,1,,A,10,0,https://x.com/InSinkErator/status/972842165440217088
11,09.22.25 09:30,"The perfect cupcake does exi— <br> Vanilla and chocolate on the outside, gooey marshmallow on the inside, and peanut butter buttercream to top it off. Puff'rnutter perfection. <br>Our EXCLUSIVE new cupcake with @magnoliabakery
 is live—just in time for 10/20 😮‍💨",https://i.imgur.com/dzpZbbH.jpeg,,13,1,4,Gopuff,gopuff,Thousands of everyday items in as fast as 15 minutes. Get Gopuff ⬇️,https://i.imgur.com/nJsCXkh.png,34500,1,,A,11,0,https://x.com/gopuff/status/1912237686770761946
